catalog_number,item_name,category,item_image,unit_uom
ES1S-CH-CC001-002  ,Electronic Contact Cleaner CRC,,C4.jpg,
ES1S-CH-LA001-001  ,PURE LEAD ANODE 99.9%,,,PCS
ES1S-CS-AR001-009  ,Anti-Rust ARX-98 (20L),,C6.jpg,PAIL
ES1S-CS-CA001-001  ,PPE-Cotton Apron (Navy Blue),,C7.jpg,PCS
ES1S-CS-CATRIDGE-001  ,PPE-Multi Gas/Vapor Cartridge 3M 6006,,C8.jpg,PAIR
ES1S-CS-CC001-001  ,PPE-Non-Woven Clip Cap(Blue),,C9.jpg,BAG
ES1S-CS-CG001-005  ,PPE-Knitted Cotton Glove 105(Dark Green),,C10.jpg,DOZ
ES1S-CS-CG001-012  ,PPE-Knitted Cotton Glove 105(Red),,C11.jpg,DOZ
ES1S-CS-CG001-013  ,PPE-Knitted Cotton Glove 106(Green),,C12.jpg,DOZ
ES1S-CS-CG001-014  ,PPE-Knitted Cotton Glove 107(Blue)-1,,C13.jpg,DOZ
ES1S-CS-CG001-015  ,PPE-Knitted Cotton Glove 104(White),,C14.jpg,DOZ
ES1S-CS-CP001-004  ,PPE-Disposable Protective Coverall,,C15.jpg,PCS
ES1S-CS-CT002-001  ,"PP Filter Cartridge (Wound) 10"" 10um",,C16.jpg,PCS
ES1S-CS-CT002-002  ,"FILTER CARTRIDGE 20"" X 1UM",,C17.jpg,PCS
ES1S-CS-CT002-005  ,"PP Filter Cartridge (Wound)20"" 10um",,C18.jpg,PCS
ES1S-CS-CT002-006  ,"PP Filter Cartridge (Wound)30"" 10um",,C19.jpg,PCS
ES1S-CS-EM001-002  ,PPE-Infinity Earmuff PROGUARD PC-03EM,,C20.jpg,UNIT
ES1S-CS-EP001-004  ,PPE-EarPlug PROGUARD EP1366 Reusable,,C21.jpg,PAIR
ES1S-CS-FR001-003  ,PPE-Silicone Half Face Respirator3M 7502,,C22.jpg,
ES1S-CS-FR001-005  ,PPE-Face Respirator FFP2-PC,,C23.jpg,
ES1S-CS-GL001-005  ,PPE-Disposable Plastic Glove (Bag),,C24.jpg,BOX
ES1S-CS-GL001-015  ,PPE-Gripper Glove SAFETYWARE GNR-01,,C25.jpg,PAIR
ES1S-CS-GL001-100  ,PPE-Full Leather Welding Glove 10-2000,,C26.jpg,
ES1S-CS-GL001-200  ,PPE-Powder Free Latex Glove,,C27.jpg,BOX
ES1S-CS-GL001-204  ,PPE-HPPE PU Palm Fit Glove N10590,,C28.jpg,PAIR
ES1S-CS-GL001-206  ,PPE-Full Leather Welding Glove FLG-35-EC,,C29.jpg,PAIR
ES1S-CS-GL001-208  ,"PPE-Nitrile Glove 13"" ANSELL 37-176-9",,C30.jpg,
ES1S-CS-GL001-209  ,"PPE-10"" Semi Leather Double Palm Glove",,C31.jpg,PAIR
ES1S-CS-HC001-001  ,Hand Cover,,C32.jpg,SET
ES1S-CS-HC001-002  ,PPE-Hand Cover (Small),,,SET
ES1S-CS-HS001-003  ,PPE-Safety Helmet Slide Lock HG2-PHSL-Y,,C34.jpg,PCS
ES1S-CS-HS001-005  ,PPE-Helmet Harness HMT/H-Ness (PHSL),,C35.jpg,PCS
ES1S-CS-HS001-006  ,PPE-Replacement Sweatband (SB2),,C36.jpg,PCS
ES1S-CS-LP001-003  ,"Long Pants (Production) 32""",,C37.jpg,PCS
ES1S-CS-LP001-004  ,"Long Pants (Production) 34""",,C38.jpg,PCS
ES1S-CS-LP001-005  ,"Long Pants (Production) 36""",,C39.jpg,PCS
ES1S-CS-MK001-002  ,PPE-Nose Cup Assembly 3M,,C40.jpg,PCS
ES1S-CS-MK001-004  ,PPE-Disposable Face Mask 3Ply,,C41.jpg,PCS
ES1S-CS-MK001-007,PPE-Disposable Face Mask KN95 5Ply,,,PCS
ES1S-CS-MS001-004,PPE-Particulate Respirator N95 3M 9502,,,PCS
ES1S-CS-MK001-006  ,PPE-Full Face Shield,,C42.jpg,
ES1S-CS-SB001-004  ,Sludge Bag 500mm X 500mm X 500mm(H),,C43.jpg,PCS
ES1S-CS-SG001-002  ,PPE-Chemical Splash Google SG-800-AF,,C44.jpg,UNIT
ES1S-CS-SH001-019  ,PPE-Leather Safety Shoes-GSF,,C45.jpg,
ES1S-CS-SH001-020  ,PPE-Safety Shoes HERCULES R310,,C46.jpg,PAIR
ES1S-CS-SO001-001  ,PPE-Safety Overglasses SG-500C,,C47.jpg,PCS
ES1S-CS-SP001-002  ,PPE-Anti-Fog Spectacle SG-100C-AF(Clear),,C48.jpg,
ES1S-CS-SS001-001  ,Sleeve Shirt (Security),,C49.jpg,
ES1S-CS-TS001-018  ,Excel Rim T-Shirt Size:XXXL (Black),,C50.jpg,PCS
ES1S-CS-TS001-019  ,Excel Rim T-Shirt Size:S (Black 01),,C51.jpg,PCS
ES1S-CS-TS001-020  ,Excel Rim T-Shirt Size:M (Black 01),,C52.jpg,PCS
ES1S-CS-TS001-021  ,Excel Rim T-Shirt Size:L (Black 01),,C53.jpg,PCS
ES1S-CS-TS001-022  ,Excel Rim T-Shirt Size:XL (Black 01),,C54.jpg,PCS
ES1S-CS-TS001-023  ,Excel Rim T-Shirt Size:XXL (Black 01),,C55.jpg,PCS
ES1S-CS-TS001-024  ,Excel Asia T-Shirt Size:S (Black),,C56.jpg,PCS
ES1S-CS-TS001-025  ,Excel Asia T-Shirt Size:M (Black),,C57.jpg,PCS
ES1S-CS-TS001-026  ,Excel Asia T-Shirt Size:L (Black),,C58.jpg,PCS
ES1S-CS-TS001-027  ,Excel Asia T-Shirt Size:XL (Black),,C59.jpg,PCS
ES1S-CS-TS001-028  ,Excel Rim T-Shirt Size:XXXL (Black 01),,C60.jpg,PCS
ES1S-CS-TS001-029  ,Excel Rim T-Shirt Size:XXXXL (Black 01),,C61.jpg,PCS
ES1S-CS-WR001-001  ,Industrial Wiping Rag-S2,,C62.jpg,KG
ES1S-CS-WR001-002  ,Polyester Rag - Sewn,,C63.jpg,KG
ES1S-CT-CT002-003  ,Multi-purpose Cutters 190mm,,C64.jpg,
ES1S-EL-AC001-002  ,Auxiliary Contact Block FUJI SZ-A-11-5,,C65.jpg,
ES1S-EL-ACA001-001  ,MPEX SD963A 60/5A AC AMMETER,,C66.jpg,UNIT
ES1S-EL-ACS001-001  ,Auxiliary Circuit Switches,,C67.jpg,UNIT
ES1S-EL-AF001-001  ,Cooling Blower OMRON R87F-A6A93HP,,C68.jpg,UNIT
ES1S-EL-AM001-001  ,Amp Meter FOTEK MA-21R 90~265V AC,,C69.jpg,PCS
ES1S-EL-AM001-005  ,Analog Amp Meter CF-80 50A (Direct Type),,C70.jpg,PCS
ES1S-EL-BP001-003  ,"PVC Push Button Box, Hole: 22 x 1.",,,PCS
ES1S-EL-BP001-007  ,"PVC Push Button Box, Hole: 22 x 5.",,C71.jpg,PCS
ES1S-EL-BT001-004  ,Battery 9V,,C73.jpg,
ES1S-EL-BT001-030  ,Battery D,,C74.jpg,PCS
ES1S-EL-BU001-007  ,"Filament Bulb 3.8V,Screw Type,E10",,C75.jpg,PCS
ES1S-EL-BU001-010  ,Filament Bulb 240V 15W E12 T20x50mm,,C76.jpg,PCS
ES1S-EL-BZ001-008  ,Flash Buzzer SECO AD588-SD 22mm with LED,,C77.jpg,PCS
ES1S-EL-CC001-005  ,CIRCUIT BREAKER MEM 20AMP 3POLE,,C78.jpg,PCS
ES1S-EL-CC001-006  ,CIRCUIT BREAKER MEM 10AMP 1POLE,,C79.jpg,PCS
ES1S-EL-CC001-007 ,CIRCUIT BREAKER MEM 6AMP 1POLE,,C80.jpg,PCS
ES1S-EL-CO001-002  ,Magnetic Contactor FUJI SC-0 AC240V 1NO,,C81.jpg,PCS
ES1S-EL-CO001-003  ,Magnetic Contactor FUJI SC-0 AC240V 1NC,,C82.jpg,PCS
ES1S-EL-CO001-015  ,Single Contact Block SCHNEIDER ZBE102 NC,,C83.jpg,UNIT
ES1S-EL-CO001-016  ,MPEX MX1B-60 CLASS 1 60/5A C.T COIL,,C84.jpg,UNIT
ES1S-EL-CO001-019  ,Mounting Collar+Contact Block ZB4BZ101,,C85.jpg,
ES1S-EL-CO001-022  ,Magnetic Contactor FUJI SC-03 AC240V 1NC,,C86.jpg,PCS
ES1S-EL-CO001-023  ,Magnetic Contactor FUJI SC-03 AC240V 1NO,,C87.jpg,PCS
ES1S-EL-CO001-024  ,Magnetic Contactor FUJI SC-05 AC240V,,C88.jpg,
ES1S-EL-CO001-026  ,Magnetic Contactor FUJI SC-N2 AC240V,,C89.jpg,
ES1S-EL-CO001-028  ,Contact Block TEND BR-3-2B 2NC,,C90.jpg,PCS
ES1S-EL-CO001-033  ,Single Contact Block SCHNEIDER ZB5AZ104,,C91.jpg,PCS
ES1S-EL-DC001-004  ,"Counter FOTEK HC-41P, AC200-240V",,C92.jpg,PCS
ES1S-EL-DC001-007  ,Counter,,C93.jpg,UNIT
ES1S-EL-DC001-009  ,"Counter FOTEK SK-2D, AC90-240V",,C95.jpg,PCS
ES1S-EL-DC001-010  ,Timer FOTEK STP-2D 0.01s~99h AC240V,,C94.jpg,
ES1S-EL-DC001-011  ,Counter OMRON H7CX-AD-N 12-24VDC,,C96.jpg,
ES1S-EL-DT001-004  ,Digital Timer CIKACHI AH3D-DM1 AC240V,,C97.jpg,
ES1S-EL-DT001-006  ,Digital Timer CIKACHI AH3D-DM1 DC24V,,C98.jpg,
ES1S-EL-DT001-011  ,Digital Timer CIKACHI BH3D-DM DC24V,,C99.jpg,
ES1S-EL-DT001-013  ,Digital Time Switch OMRON H5F-B,,C100.jpg,PCS
ES1S-EL-EB001-005  ,"PT Elbow_PVC_1""",,C101.jpg,
ES1S-EL-EC001-001  ,USB Extension Cable 1.50m,,C102.jpg,
ES1S-EL-EL001-002  ,Emergency Light PNE PEL-18,,C103.jpg,PCS
ES1S-EL-FA001-003  ,"Wall Fan 16"" Crown",,C104.jpg,
ES1S-EL-FA001-013  ,"Cooling Blower 3"" TOYO T2082S AC240V",,C105.jpg,PCS
ES1S-EL-FA001-021  ,"Cooling Fan HENGRO 4"" AC240V (Bearing)",,C106.jpg,
ES1S-EL-FA001-027  ,Cooling Blower TOYO FP-108EX-A240,,C107.jpg,
ES1S-EL-FS001-002  ,Floater Switch 16(4)Amp 250VAC,,C108.jpg,
ES1S-EL-FS001-003  ,Foot Switch Plasma SFMP 10A AC250V,,C109.jpg,
ES1S-EL-FU001-005  ,MEM PVC FUSE HOLDER (SP),,C110.jpg,PCS
ES1S-EL-FU001-014  ,GLASS FUSE 5AMPx30MM,,C111.jpg,PCS
ES1S-EL-FU001-015  ,"Glass Fuse 3A, 6mm x 30mm(L)",,C112.jpg,PCS
ES1S-EL-FUSE-GLASS-3AMP  ,3AMP GLASS FUSE,,C113.jpg,PCS
ES1S-EL-GM001-013  ,CHIN SUNG HELICAL GEAR CSH28,,,UNIT
ES1S-EL-GM001-042  ,TUNG LEE PL28 400-180 S4-B Gear Motor,,C115.jpg,UNIT
ES1S-EL-HA001-006  ,MCB HAGER MY350E AC415V 50A 3 POLE,,C116.jpg,
ES1S-EL-HA001-008  ,MCB HAGER MY106E C6 AC240/415V 6A 1 POLE,,C117.jpg,PCS
ES1S-EL-HA001-009  ,MCB HAGER MY110E AC240/415V 10A 1Pole,,C118.jpg,PCS
ES1S-EL-HA001-010  ,RCCB HAGER CF463B AC230/400V 4POLE 63A,,C119.jpg,
ES1S-EL-HA001-012  ,RCCB HAGER CG484B AC240/415V 100A/0.5A,,C120.jpg,
ES1S-EL-HA001-013  ,MCB HAGER MY116E AC240/415V 16A 1Pole,,C121.jpg,
ES1S-EL-HA001-014  ,MCB HAGER MY120E AC240/415V 20A 1Pole,,C122.jpg,
ES1S-EL-HA001-015  ,MCB HAGER MY320E AC415V 20A 3 Pole,,C123.jpg,
ES1S-EL-HB001-001  ,"Halogen Bulb ""OSRAM"" Model: 62201",,C124.jpg,PCS
ES1S-EL-HB001-002  ,Halogen Bulb FLOOD PAR 38 AC220V-240V,,C125.jpg,UNIT
ES1S-EL-IN001-005  ,Mechanical Interlock FUJI SZ-RM,,C126.jpg,PCS
ES1S-EL-IS002-004  ,3 Pole Isolator Switch SCHNEIDER WHT35,,C127.jpg,PCS
ES1S-EL-LH001-002  ,Lamp Holder E27,,C128.jpg,PCS
